Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,4082930,92,44379.7,35089.5,11200,96806,31847.7,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.3,4066329,207,19644.1,24770.0,7425,27873,8297.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(T1::Params)
0.2,2974866,396,7512.3,992.0,960,66276,18540.7,"silu_mul_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.2,2559130,92,27816.6,24258.0,7744,55428,17096.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
0.2,2516982,46,54717.0,55971.5,19361,58211,7443.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,1959593,720,2721.7,1696.0,1600,20833,3919.9,"void pegainfer::norm::FusedAddRMSNormRoundKernel<(unsigned int)8, __nv_bfloat16>(T2 *, const T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, unsigned int, float)"
0.1,1418741,36,39409.5,39378.0,37955,40450,744.8,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
0.1,1414711,23,61509.2,61476.0,60899,62212,308.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)8, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,1333201,23,57965.3,57827.0,57348,59748,536.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_64x2_tn_align8>(T1::Params)
0.1,1268550,23,55154.3,55139.0,54499,55811,248.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
0.1,1066014,396,2692.0,1344.0,1312,23457,3498.0,"prefill_qk_norm_rope_warp_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const int *, int, int, int, int, int, int, float, int)"
0.1,949816,324,2931.5,2464.0,2400,6112,1108.8,"void flashinfer::BatchDecodeWithPagedKVCacheKernel<(flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)1, (unsigned int)8, (unsigned int)16, (unsigned int)4, (unsigned int)2, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>, flashinfer::BatchDecodeParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>>(T9)"
0.0,711828,396,1797.5,1376.0,1344,5504,1036.9,"void flashinfer::AppendPagedKVCacheKernel<(unsigned int)128, (unsigned int)8, __nv_bfloat16, int>(flashinfer::paged_kv_t<T3, T4>, T3 *, T3 *, T4 *, T4 *, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,642455,414,1551.8,1504.0,1184,2112,244.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,507583,72,7049.8,7008.5,1088,13121,5955.8,"add_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,340056,288,1180.8,1184.0,1152,1344,15.5,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
0.0,308182,92,3349.8,2896.5,1664,5952,1596.8,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,300719,83,3623.1,1984.0,1536,17121,2327.8,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
0.0,93926,1,93926.0,93926.0,93926,93926,0.0,"argmax_batch_bf16_partial_kernel(const __nv_bfloat16 *, const int *, float *, int *, int, int, int)"
0.0,8288,3,2762.7,2240.0,1888,4160,1222.9,"embedding_batched_vec4_kernel(const uint4 *, const unsigned int *, uint4 *, int, int)"
0.0,8256,1,8256.0,8256.0,8256,8256,0.0,"gather_hidden_tokens_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int, int)"
0.0,1792,1,1792.0,1792.0,1792,1792,0.0,"argmax_batch_bf16_finalize_kernel(const float *, const int *, __nv_bfloat16 *, int *, int, int)"
