Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,4081582,92,44365.0,35157.5,11228,96804,31854.0,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.3,4057304,207,19600.5,24729.0,7486,27224,8265.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(T1::Params)
0.2,2974628,396,7511.7,992.0,959,66349,18540.0,"silu_mul_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.2,2556198,92,27784.8,24217.0,7741,55568,17067.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
0.2,2519214,46,54765.5,55968.0,19290,58479,7481.2,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,1955883,720,2716.5,1695.0,1599,20379,3896.7,"void pegainfer::norm::FusedAddRMSNormRoundKernel<(unsigned int)8, __nv_bfloat16>(T2 *, const T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, unsigned int, float)"
0.1,1421671,36,39490.9,39493.0,37589,41012,805.8,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
0.1,1414315,23,61492.0,61487.0,61006,61967,259.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)8, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,1328930,23,57779.6,57648.0,57199,59567,517.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_64x2_tn_align8>(T1::Params)
0.1,1270224,23,55227.1,55152.0,54896,55920,284.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
0.1,1065099,396,2689.6,1344.0,1311,24377,3500.9,"prefill_qk_norm_rope_warp_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const int *, int, int, int, int, int, int, float, int)"
0.1,949925,324,2931.9,2464.0,2399,6174,1110.8,"void flashinfer::BatchDecodeWithPagedKVCacheKernel<(flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)1, (unsigned int)8, (unsigned int)16, (unsigned int)4, (unsigned int)2, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>, flashinfer::BatchDecodeParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>>(T9)"
0.0,712048,396,1798.1,1376.0,1343,5758,1047.4,"void flashinfer::AppendPagedKVCacheKernel<(unsigned int)128, (unsigned int)8, __nv_bfloat16, int>(flashinfer::paged_kv_t<T3, T4>, T3 *, T3 *, T4 *, T4 *, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,641995,414,1550.7,1504.0,1183,2111,242.5,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,507083,72,7042.8,6974.5,1087,13212,5951.0,"add_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,339745,288,1179.7,1184.0,1151,1312,15.1,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
0.0,308234,92,3350.4,2895.5,1663,5951,1598.7,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,300907,83,3625.4,2016.0,1535,16379,2273.9,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
0.0,93477,1,93477.0,93477.0,93477,93477,0.0,"argmax_batch_bf16_partial_kernel(const __nv_bfloat16 *, const int *, float *, int *, int, int, int)"
0.0,8412,3,2804.0,2271.0,2015,4126,1152.0,"embedding_batched_vec4_kernel(const uint4 *, const unsigned int *, uint4 *, int, int)"
0.0,8349,1,8349.0,8349.0,8349,8349,0.0,"gather_hidden_tokens_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int, int)"
0.0,1760,1,1760.0,1760.0,1760,1760,0.0,"argmax_batch_bf16_finalize_kernel(const float *, const int *, __nv_bfloat16 *, int *, int, int)"
